"MMSA","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","BP_High","BP_normal","BP_unkn","Chol_High","Chol_normal","Unkn_chol","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
10100,27.8936923647087,0.0273858960433866,0.389987983853978,0.260110547895514,0.256900744328724,0.065614827878397,0.866917674821256,0.13256301194596,0.00051931323278417,0.900378907062736,0.0961936819452072,0.00342741099205691,0.334579223264446,0.660390929675553,0.00502984706000074,0.221788750498703,0.648544671735206,0.129666577766091,0.0407678076862737,0.948437303479271,0.0107948888344557,0.115976616346086,0.884023383653914,0,0.0262953092337034,0.973007497972152,0.000697192794144339,0.147432399650621,0.852567600349379,0,0.812450832741645,0.157850968906765,0.0296981983515893,0.157564261719439,0.217931106914847,0.132607320734229,0.189974370423464,0.138836287470532,0.163086652737488
10580,27.7064339539284,0,0.381870519153319,0.307514422055033,0.265800007018554,0.0448150517730941,0.832306410678513,0.166409351182194,0.00128423813929314,0.928236120452512,0.0687274139621156,0.00303646558537198,0.345533757384915,0.650917886647538,0.0035483559675468,0.248192304052633,0.656748047493163,0.0950596484542037,0.0489171796847993,0.947656442373684,0.00342637794151623,0.0712864640702103,0.927688591734315,0.00102494419547455,0.0255728992337787,0.973466071372606,0.000961029393615119,0.128654675192432,0.867972042793794,0.00337328201377394,0.786734588988409,0.147281154717137,0.065984256294454,0.194666274317853,0.161972535899154,0.149607181091893,0.189182763253904,0.168493133924705,0.13607811151249
10740,27.1596265577653,0.0211864445222619,0.4009976233294,0.364470078544277,0.17336668009315,0.0399791735109115,0.807118457507335,0.191388088434656,0.00149345405800973,0.879424477829677,0.115770558086596,0.00480496408372683,0.30520877987137,0.692774137044941,0.00201708308368935,0.259514169746307,0.613402252561582,0.127083577692111,0.0249364679500531,0.965018673532205,0.0100448585177418,0.066062705646949,0.93325578673464,0.000681507618411336,0.0323032731320024,0.962984025301249,0.00471270156674859,0.126246236244488,0.87310281950648,0.000650944249032328,0.79568784022843,0.159821582398945,0.0444905773726247,0.198658306875834,0.176376798629293,0.168994164103449,0.16021584975122,0.160524160882069,0.135230719758135
10900,26.2659297397001,0.0113943569321191,0.488008316703372,0.276431301746692,0.213233857190163,0.0109321674276549,0.827643545212788,0.170449837289304,0.00190661749790751,0.924146620085559,0.0642163300576788,0.0116370498567622,0.335627525150415,0.663206049480942,0.00116642536864356,0.268844421015035,0.667800647363597,0.0633549316213678,0.0402656597466581,0.944598730137438,0.015135610115904,0.0866377099104945,0.912935042697087,0.00042724739241825,0.0251271264202284,0.9746741761696,0.000198697410171298,0.141331033373681,0.858668966626319,0,0.766425032838455,0.174623536637226,0.0589514305243193,0.209142376105108,0.123276345158443,0.153626832379525,0.185402546036146,0.16212651567305,0.166425384647728
11260,28.8114522681823,0.0161682839876152,0.388548519097747,0.210562645694755,0.292071675683369,0.0926488755365137,0.804525230502884,0.190376997345633,0.0050977721514829,0.887619726548681,0.103535922367553,0.00884435108376518,0.339716156954259,0.653157623114055,0.0071262199316863,0.246290004281845,0.552417934304831,0.201292061413324,0.0305663263710099,0.967754143464151,0.00167953016483939,0.0708400234830874,0.926272837552255,0.00288713896465712,0.0254928452856348,0.970644532002046,0.0038626227123195,0.0967534002514599,0.902858647129384,0.000387952619156227,0.751803806959203,0.184884670967483,0.0633115220733136,0.250407170764696,0.20505645976756,0.151057574390195,0.165499142806038,0.134674815994015,0.0933048362774968
12060,27.4590048841419,0.0221275168090245,0.409903725836043,0.297484824681219,0.215854841579275,0.0546290910944384,0.838983048989954,0.160036469539846,0.000980481470199854,0.834443460033396,0.162152087575982,0.0034044523906227,0.325419689278441,0.671992548693297,0.00258776202826215,0.258767766547626,0.668223482881832,0.0730087505705424,0.0273991603078738,0.966247776968794,0.00635306272333255,0.0540308263805209,0.944369503325711,0.00159967029376761,0.0244605308917894,0.972679913971113,0.00285955513709791,0.127953686234425,0.867381782016496,0.0046645317490797,0.806415299997876,0.141541994122837,0.0520427058792878,0.206731350322751,0.181151490101685,0.20587613266584,0.167857287123261,0.131460584979371,0.106923154807093
12260,30.0064006560203,0.018785660010224,0.267199800162979,0.340612977837995,0.253532162496921,0.11986939949188,0.816251342846751,0.18240807125665,0.00134058589659812,0.844936639178428,0.143710278674331,0.0113530821472413,0.399431398641193,0.598730199756396,0.00183840160241141,0.327362644822273,0.561183377947026,0.111453977230701,0.0595064210473178,0.927950064069105,0.0125435148835773,0.0681329518251763,0.93013504233323,0.00173200584159344,0.0277422749614743,0.96922926848228,0.00302845655624548,0.171640458963896,0.818421050112435,0.00993849092366841,0.791249045013802,0.159044066254689,0.049706888731509,0.227122716798681,0.156568248340328,0.163118608068703,0.131847230916887,0.201514832983935,0.119828362891466
12420,26.5490048042858,0.00628441757310103,0.414698566494702,0.374048159426739,0.178906763520903,0.0260620929845552,0.844051464561963,0.149233092315224,0.00671544312281319,0.817606140846724,0.182216958431911,0.00017690072136489,0.277186952777368,0.71735317229423,0.00545987492840255,0.284218251782266,0.636118190973033,0.0796635572447008,0.0244021895606181,0.970636867648787,0.00496094279059445,0.0561623833970218,0.943725152200187,0.000112464402791349,0.0238413799366972,0.975400954048012,0.000757666015290723,0.112363206541661,0.887636793458339,0,0.841617858894461,0.120101652627313,0.0382804884782255,0.226801002062076,0.220221966648024,0.175122113699109,0.169216348687281,0.121996827631219,0.0866417412722919
12580,27.7633563366564,0.0132665529389671,0.402330680131022,0.305366596798963,0.218852294030438,0.0601838761006092,0.846588871732181,0.152826257408925,0.000584870858893544,0.9345192217925,0.0595934642848397,0.00588731392266047,0.352649393923024,0.644918390249865,0.00243221582711094,0.283154234003049,0.652314516025343,0.0645312499716086,0.0337831784326874,0.958544250723886,0.00767257084342674,0.0653134910833691,0.931503686159912,0.00318282275671877,0.0321339440686897,0.965556227910521,0.00230982802078954,0.13095222546885,0.864899888356705,0.00414788617444481,0.801566378758545,0.146084250544181,0.0523493706972736,0.198585420880838,0.176409539991591,0.156188590481936,0.180005157748319,0.15322800790151,0.135583282995806
12940,29.3816427592564,0.0120292434414156,0.338976346929555,0.276688885128354,0.286293220687712,0.086012303812963,0.80011002800878,0.196873892486169,0.00301607950505108,0.875458687622444,0.108925886190118,0.0156154261874376,0.386760903714701,0.610382848141389,0.00285624814390992,0.310762129673054,0.597499260155277,0.0917386101716691,0.0461486902544725,0.953340429845532,0.000510879899995619,0.0685439348129514,0.930367506423421,0.00108855876362756,0.0261617578422213,0.973838242157779,0,0.138245517143132,0.861754482856868,0,0.730192411320341,0.202238693443999,0.0675688952356594,0.241317757676335,0.17848789510216,0.156682993038182,0.171218580817209,0.140342212688291,0.111950560677823
